"slug","tipo","legislatura","url-json","url-arnet-json","url-xml","url-arnet-xml"
"delegacao-eventual-09","Delegações Eventuais",9,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e5276637939455a57786c5a32484470384f315a584d6c4d6a4246646d56756448566861584d765356676c4d6a424d5a5764706332786864485679595339455a57786c5a32466a59573946646d56756448566862456c595832707a6232347564486830&fich=DelegacaoEventualIX_json.txt&Inline=true",,,
"delegacao-eventual-10","Delegações Eventuais",10,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e5276637939455a57786c5a32484470384f315a584d6c4d6a4246646d56756448566861584d76574355794d45786c5a326c7a6247463064584a684c30526c6247566e59574e68623056325a5735306457467357463971633239754c6e523464413d3d&fich=DelegacaoEventualX_json.txt&Inline=true",,,
"delegacao-eventual-11","Delegações Eventuais",11,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e5276637939455a57786c5a32484470384f315a584d6c4d6a4246646d56756448566861584d7657456b6c4d6a424d5a5764706332786864485679595339455a57786c5a32466a59573946646d5675644856686246684a5832707a6232347564486830&fich=DelegacaoEventualXI_json.txt&Inline=true",,,
"delegacao-eventual-12","Delegações Eventuais",12,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e5276637939455a57786c5a32484470384f315a584d6c4d6a4246646d56756448566861584d7657456c4a4a5449775447566e61584e7359585231636d4576524756735a5764685932467652585a6c626e52315957785953556c66616e4e76626935306548513d&fich=DelegacaoEventualXII_json.txt&Inline=true",,,
"delegacao-eventual-13","Delegações Eventuais",13,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e5276637939455a57786c5a32484470384f315a584d6c4d6a4246646d56756448566861584d7657456c4a535355794d45786c5a326c7a6247463064584a684c30526c6247566e59574e68623056325a5735306457467357456c4a53563971633239754c6e523464413d3d&fich=DelegacaoEventualXIII_json.txt&Inline=true",,,
"delegacao-permanente-09","Delegação Permanente",9,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e5276637939455a57786c5a32484470384f315a584d6c4d6a42515a584a745957356c626e526c6379394a574355794d45786c5a326c7a6247463064584a684c30526c6247566e59574e686231426c636d3168626d56756447564a57463971633239754c6e523464413d3d&fich=DelegacaoPermanenteIX_json.txt&Inline=true",,,
"delegacao-permanente-10","Delegação Permanente",10,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e5276637939455a57786c5a32484470384f315a584d6c4d6a42515a584a745957356c626e526c637939594a5449775447566e61584e7359585231636d4576524756735a5764685932467655475679625746755a5735305a566866616e4e76626935306548513d&fich=DelegacaoPermanenteX_json.txt&Inline=true",,,
"delegacao-permanente-11","Delegação Permanente",11,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e5276637939455a57786c5a32484470384f315a584d6c4d6a42515a584a745957356c626e526c63793959535355794d45786c5a326c7a6247463064584a684c30526c6247566e59574e686231426c636d3168626d56756447565953563971633239754c6e523464413d3d&fich=DelegacaoPermanenteXI_json.txt&Inline=true",,,
"delegacao-permanente-12","Delegação Permanente",12,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e5276637939455a57786c5a32484470384f315a584d6c4d6a42515a584a745957356c626e526c6379395953556b6c4d6a424d5a5764706332786864485679595339455a57786c5a32466a595739515a584a745957356c626e526c57456c4a5832707a6232347564486830&fich=DelegacaoPermanenteXII_json.txt&Inline=true",,,
"delegacao-permanente-13","Delegação Permanente",13,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e5276637939455a57786c5a32484470384f315a584d6c4d6a42515a584a745957356c626e526c6379395953556c4a4a5449775447566e61584e7359585231636d4576524756735a5764685932467655475679625746755a5735305a56684a53556c66616e4e76626935306548513d&fich=DelegacaoPermanenteXIII_json.txt&Inline=true",,,
"registo-biografico-cons","Registo Biográfico","Constituinte","http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e5276637939535a576470633352764a544977516d6c765a334c446f575a7059323876513239756333527064485670626e526c4c314a6c5a326c7a644739436157396e636d466d61574e765132397563313971633239754c6e523464413d3d&fich=RegistoBiograficoCons_json.txt&Inline=true",,,
"registo-biografico-01a","Registo Biográfico",1,,,"http://app.parlamento.pt/webutils/docs/doc.xml?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e5276637939535a576470633352764a544977516d6c765a334c446f575a7059323876535355794d45786c5a326c7a6247463064584a684c314a6c5a326c7a644739436157396e636d466d61574e765355457565473173&fich=RegistoBiograficoIA.xml&Inline=true",
"registo-biografico-01b","Registo Biográfico",1,,,"http://app.parlamento.pt/webutils/docs/doc.xml?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e5276637939535a576470633352764a544977516d6c765a334c446f575a7059323876535355794d45786c5a326c7a6247463064584a684c314a6c5a326c7a644739436157396e636d466d61574e765355497565473173&fich=RegistoBiograficoIB.xml&Inline=true",
"registo-biografico-02","Registo Biográfico",2,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e5276637939535a576470633352764a544977516d6c765a334c446f575a705932387653556b6c4d6a424d5a5764706332786864485679595339535a57647063335276516d6c765a334a685a6d6c6a62306c4a5832707a6232347564486830&fich=RegistoBiograficoII_json.txt&Inline=true",,,
"registo-biografico-03","Registo Biográfico",3,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e5276637939535a576470633352764a544977516d6c765a334c446f575a705932387653556c4a4a5449775447566e61584e7359585231636d4576556d566e61584e3062304a706232647959575a705932394a53556c66616e4e76626935306548513d&fich=RegistoBiograficoIII_json.txt&Inline=true",,,
"registo-biografico-04","Registo Biográfico",4,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e5276637939535a576470633352764a544977516d6c765a334c446f575a70593238765356596c4d6a424d5a5764706332786864485679595339535a57647063335276516d6c765a334a685a6d6c6a62306c575832707a6232347564486830&fich=RegistoBiograficoIV_json.txt&Inline=true",,,
